protocolName,nodeCount,packetsPerSecond,nodeSpeed,flowRunningTime,comment,network_throughput,avg_end_to_end_delay,packet_drop_ratio,packet_delivery_ratio,total_flows,total_tx_bytes,total_rx_bytes,total_tx_packets,total_rx_packets,total_lost_packets
AODV,100,100,5,20,nodeCount,1.7174407958984375,0.15988231453258098,61.53363018514179,14.702601359268808,2782,9367416,1125542,106675,15684,65641
AODV,20,100,10,20,nodeSpeed,0.4960205078125,0.016891651770759904,57.32743272801262,36.08016684470217,70,1806128,650144,19659,7093,11270
AODV,20,100,15,20,nodeSpeed,0.32132161458333336,0.012479908286246951,59.236826165960025,35.195840904502326,152,1812782,631744,19812,6973,11736
AODV,20,100,20,20,nodeSpeed,0.27089614868164064,0.010111160797074033,57.686925229908034,39.62914834066373,168,1820992,710138,20008,7929,11542
AODV,20,100,5,20,nodeCount,1.096575927734375,0.0014235331180457859,58.199143905421934,39.84406848756625,50,1804624,718652,19624,7819,11421
AODV,20,100,5,20,nodeSpeed,1.096575927734375,0.0014235331180457859,58.199143905421934,39.84406848756625,50,1804624,718652,19624,7819,11421
AODV,20,100,5,20,packetsPerSecond,1.096575927734375,0.0014235331180457859,58.199143905421934,39.84406848756625,50,1804624,718652,19624,7819,11421
AODV,20,200,5,20,packetsPerSecond,2.1535400390625,0.009510560616003113,59.84101991060544,39.16598943518895,44,3614804,1411344,39376,15422,23563
AODV,20,300,5,20,packetsPerSecond,2.336871337890625,0.03280829364717659,70.10695906629444,28.56109784400121,54,5438152,1531492,59462,16983,41687
AODV,20,400,5,20,packetsPerSecond,3.1125091552734374,0.05358907674801338,70.12594709972164,28.74564677393182,50,7284166,2039814,80113,23029,56180
AODV,40,100,5,20,nodeCount,1.39296875,0.1271530386733425,67.53641748039058,28.3175924443733,470,3784154,912896,43729,12383,29533
AODV,70,100,5,20,nodeCount,2.4720916748046875,0.1625762693031518,56.48988518316019,26.9313832695462,1110,6501772,1620110,73160,19703,41328
RAODV,100,100,5,20,nodeCount,1.4685791015625,0.15213232127527893,61.272148040353194,11.28001415901359,258,9117904,962448,101702,11472,62315
RAODV,20,100,10,20,nodeSpeed,0.53289794921875,0.016229687720674773,59.069037127083014,38.732715392797445,26,1809336,698480,19743,7647,11662
RAODV,20,100,15,20,nodeSpeed,0.30859171549479164,0.010759843092254267,60.94400975510619,33.65003556549131,26,1806896,606716,19682,6623,11995
RAODV,20,100,20,20,nodeSpeed,0.2361663818359375,0.012786169836355594,58.580150360764925,34.22473384126343,26,1812376,619096,19819,6783,11610
RAODV,20,100,5,20,nodeCount,1.09244384765625,0.0013316666666666668,58.35373317013464,39.68788249694003,20,1803936,715944,19608,7782,11442
RAODV,20,100,5,20,nodeSpeed,1.09244384765625,0.0013316666666666668,58.35373317013464,39.68788249694003,20,1803936,715944,19608,7782,11442
RAODV,20,100,5,20,packetsPerSecond,1.09244384765625,0.0013316666666666668,58.35373317013464,39.68788249694003,20,1803936,715944,19608,7782,11442
RAODV,20,200,5,20,packetsPerSecond,2.1837646484375,0.0016128265620982258,59.35189434501046,39.661414512263526,20,3608424,1431152,39222,15556,23279
RAODV,20,300,5,20,packetsPerSecond,2.372161865234375,0.008126946402219467,66.23123250487743,28.740351174823985,24,5417220,1554620,58945,16941,39040
RAODV,20,400,5,20,packetsPerSecond,2.938873291015625,0.025625756230714454,72.16798231765077,26.605620461004104,26,7246400,1926020,79175,21065,57139
RAODV,40,100,5,20,nodeCount,0.9885498046875,0.018727916466535433,67.13199265006125,18.15026541445488,58,3589328,647856,39184,7112,26305
RAODV,70,100,5,20,nodeCount,2.31839599609375,0.12783237202782974,59.065746891500595,24.277522284676092,164,6376336,1519384,70452,17104,41613
RAODV-v1,100,100,5,20,nodeCount,1.489459228515625,0.16700464449370675,58.299934848275456,11.842806657321672,1344,9120672,976132,101302,11997,59059
RAODV-v1,20,100,10,20,nodeSpeed,0.5179656982421875,0.01730163608847185,58.947634707816846,37.743485960030355,52,1810456,678908,19765,7460,11651
RAODV-v1,20,100,15,20,nodeSpeed,0.3125,0.009074203378346224,61.0744724025974,34.111201298701296,92,1808472,614400,19712,6724,12039
RAODV-v1,20,100,20,20,nodeSpeed,0.23772125244140624,0.017574603293453072,59.072621202977274,34.72138402735868,66,1815416,623172,19884,6904,11746
RAODV-v1,20,100,5,20,nodeCount,1.079217529296875,0.0012854622216447967,58.82502802404973,39.218383776622844,32,1804744,707276,19626,7697,11545
RAODV-v1,20,100,5,20,nodeSpeed,1.079217529296875,0.0012854622216447967,58.82502802404973,39.218383776622844,32,1804744,707276,19626,7697,11545
RAODV-v1,20,100,5,20,packetsPerSecond,1.079217529296875,0.0012854622216447967,58.82502802404973,39.218383776622844,32,1804744,707276,19626,7697,11545
RAODV-v1,20,200,5,20,packetsPerSecond,2.18470458984375,0.0017249134264790906,59.335729397670214,39.68035482144223,30,3608856,1431768,39231,15567,23278
RAODV-v1,20,300,5,20,packetsPerSecond,1.900250244140625,0.037397875555756695,73.64571043317041,23.276588572391706,36,5432876,1245348,59330,13810,43694
RAODV-v1,20,400,5,20,packetsPerSecond,2.941278076171875,0.040377497339889996,71.48546797408687,27.03990320385168,34,7253248,1927596,79342,21454,56718
RAODV-v1,40,100,5,20,nodeCount,1.314666748046875,0.1284304362787252,66.04893932864051,25.693147536273525,356,3701392,861580,41766,10731,27586
RAODV-v1,70,100,5,20,nodeCount,2.566925048828125,0.1401740219044319,56.5732637720184,27.119095702905867,672,6420520,1682260,71304,19337,40339
RAODV-v2,100,100,5,20,nodeCount,2.310711669921875,0.17727353076903965,67.72257041455863,18.615494978479198,1790,9346240,1514348,105944,19722,71748
RAODV-v2,20,100,10,20,nodeSpeed,0.5082855224609375,0.019387132203622395,58.43523263483688,36.97803034146837,58,1808688,666220,19709,7288,11517
RAODV-v2,20,100,15,20,nodeSpeed,0.29205322265625,0.008193756523862552,59.73011363636363,31.889204545454547,72,1808856,574200,19712,6286,11774
RAODV-v2,20,100,20,20,nodeSpeed,0.2437530517578125,0.03513118362298528,56.9342335583896,35.68392098024506,80,1820840,638984,19995,7135,11384
RAODV-v2,20,100,5,20,nodeCount,1.079571533203125,0.0017767651799402366,58.831321004635996,39.21238983137195,34,1804944,707508,19629,7697,11548
RAODV-v2,20,100,5,20,nodeSpeed,1.079571533203125,0.0017767651799402366,58.831321004635996,39.21238983137195,34,1804944,707508,19629,7697,11548
RAODV-v2,20,100,5,20,packetsPerSecond,1.079571533203125,0.0017767651799402366,58.831321004635996,39.21238983137195,34,1804944,707508,19629,7697,11548
RAODV-v2,20,200,5,20,packetsPerSecond,2.15704345703125,0.0017291577944715446,59.838446641524826,39.177963510345535,32,3609456,1413640,39244,15375,23483
RAODV-v2,20,300,5,20,packetsPerSecond,2.53114013671875,0.03169412596951782,68.15101808057429,30.923149173124013,38,5444708,1658808,59622,18437,40633
RAODV-v2,20,400,5,20,packetsPerSecond,2.8736572265625,0.044729882678043974,69.4205271116332,26.65425325851964,38,7280776,1883280,80021,21329,55551
RAODV-v2,40,100,5,20,nodeCount,1.338470458984375,0.11687253442854531,64.14408380970605,26.15943935516276,362,3707440,877180,41809,10937,26818
RAODV-v2,70,100,5,20,nodeCount,2.870867919921875,0.10716938358303806,55.72736407279223,30.3268393435302,756,6446464,1881452,71656,21731,39932
