protocolName,nodeCount,packetsPerSecond,nodeSpeed,flowRunningTime,comment,network_throughput,avg_end_to_end_delay,packet_drop_ratio,packet_delivery_ratio,total_flows,total_tx_bytes,total_rx_bytes,total_tx_packets,total_rx_packets,total_lost_packets
AODV,100,100,5,20,nodeCount,0.42936019897460936,0.15988231453258098,61.53363018514179,14.702601359268808,2782,9367416,1125542,106675,15684,65641
AODV,20,100,10,20,nodeSpeed,0.24801025390625,0.016891651770759904,57.32743272801262,36.08016684470217,70,1806128,650144,19659,7093,11270
AODV,20,100,15,20,nodeSpeed,0.2409912109375,0.012479908286246951,59.236826165960025,35.195840904502326,152,1812782,631744,19812,6973,11736
AODV,20,100,20,20,nodeSpeed,0.27089614868164064,0.010111160797074033,57.686925229908034,39.62914834066373,168,1820992,710138,20008,7929,11542
AODV,20,100,5,20,nodeCount,0.27414398193359374,0.0014235331180457859,58.199143905421934,39.84406848756625,50,1804624,718652,19624,7819,11421
AODV,20,100,5,20,nodeSpeed,0.27414398193359374,0.0014235331180457859,58.199143905421934,39.84406848756625,50,1804624,718652,19624,7819,11421
AODV,20,100,5,20,packetsPerSecond,0.27414398193359374,0.0014235331180457859,58.199143905421934,39.84406848756625,50,1804624,718652,19624,7819,11421
AODV,20,200,5,20,packetsPerSecond,0.538385009765625,0.009510560616003113,59.84101991060544,39.16598943518895,44,3614804,1411344,39376,15422,23563
AODV,20,300,5,20,packetsPerSecond,0.5842178344726563,0.03280829364717659,70.10695906629444,28.56109784400121,54,5438152,1531492,59462,16983,41687
AODV,20,400,5,20,packetsPerSecond,0.7781272888183594,0.05358907674801338,70.12594709972164,28.74564677393182,50,7284166,2039814,80113,23029,56180
AODV,40,100,5,20,nodeCount,0.3482421875,0.1271530386733425,67.53641748039058,28.3175924443733,470,3784154,912896,43729,12383,29533
AODV,70,100,5,20,nodeCount,0.6180229187011719,0.1625762693031518,56.48988518316019,26.9313832695462,1110,6501772,1620110,73160,19703,41328
